Family Office,Metro Area,AUM,LinkedIn,Website,Notes,City,Description,Connections,Action Items:,Discussed
Lightchain Capital,St. Louis,"$100,000,000.00 ",,https://www.lightchain-capital.com/,,St. Louis,"Lightchain Capital, LLC – a venture capital fund – was started by Rodger Riney, founder of brokerage firm Scottrade. Riney, who has multiple myeloma and is focused on accelerating viable investment in scientific cancer research, established Lightchain in 2018.",,,
Marshall Street,Milwaukee,"$1,000,000,000.00 ",,http://www.mscap.com,,Milwaukee,"Marshall Street Capital has a mission to manage, preserve and grow our clients' assets while providing our clients support in areas including tax, estate planning, reporting, philanthropy and other administrative matters. To accomplish the mission, MSC collaborates with the best available advisors to ensure our clients receive the best available support in each service area. The portfolio has evolved in recent years from a long legacy of owning a diverse group of operating companies and investing in and growing those companies to best maximize their value, to a conventional portfolio of more traditional investments. In addition, leadership of Marshall Street Capital has developed a governance structure through the creation of Claridges Trust Company. Claridges is a Tennessee-registered private trust company that serves as a professional trustee for family trusts.",,,
Hexagon Inc,Milwaukee,"$729,928,980.00 ",,http://www.hexagoninc.com,,Pewaukee,"Hexagon is a private investment company with offices in Denver and Milwaukee. CEO Scott Reiman and Hexagon's team of highly-skilled professionals have managed a diverse portfolio of successful investments across the globe since 1992. Spanning a variety of sectors, Hexagon's expertise focuses primarily in direct investments, energy and minerals, private equity and real estate.",,,
Michels Family Office,Milwaukee,"$500,000,000.00 ",,https://www.michels.us/,,Milwaukee,"Family office for Michels Corporation. Michels specializes in a range of services such as construction, engineering, and installation of pipelines and other utility infrastructure.",,,
Johnson Keland Management,Milwaukee,"$500,000,000.00 ",,https://N/A,,Racine,"Johnson Keland Management, Inc. (JKM) is a family office providing corporate governance, financial, and advisory services to members of the Samuel C. Johnson and Karen Johnson Boyd families (S.C. Johnson & Son). Formed in 1979, JKM has a professional and administrative staff of approximately twenty people.",,,
Marcus Investments LLC,Milwaukee,"$250,000,000.00 ",,https://www.marcusinvestments.com/,,Milwaukee,"Milwaukee-based Marcus Investments LLC is a family office that was formed by the Marcus family, controlling shareholders in The Marcus Corp., in 2006 to invest its liquid assets.",,,
Godfrey & Kahn,Milwaukee,"$216,322,465.00 ",,https://www.gklaw.com/,,Milwaukee,Godfrey & Kahn is a large law firm in Milwaukee that has a family office where Eric Nohelty is the Director of Investments.,,,
Black Maple Capital Management LP,Milwaukee,"$178,508,000.00 ",,https://www.blackmaplecapital.com/,,Milwaukee,"Black Maple Capital (“BMC”) is a multi-family office dedicated to preserving and growing our clients’ wealth through a combination of internally-managed funds, a curated selection of direct private investments, and a strategic portfolio of alternative and other fund investments.",,,
SixSibs Capital,Milwaukee,"$100,000,000.00 ",,https://N/a,,Milwaukee,"SixSibs Capital is a family-owned private investment company based in Milwaukee, WI. SixSibs focuses on buy-and-hold investment opportunities, leveraging its patient capital base to partner with management teams to execute on their long-term growth plans. The team manages a diverse portfolio, including Private Equity, Venture Capital, and Real Estate investments, to create long-term value for its investors and management teams.",,,
Waycrosse Inc.,Minneapolis,"$4,000,000,000.00 ",,,more than 80 connections w kyle swenson - tons of GPs,Wayzata,"Established in 1965, Waycrosse stands as a distinguished single-family office rooted in Wayzata, Minnesota. A beacon of financial stewardship, we offer an array of services designed to safeguard and enhance the prosperity of our valued clients.",2nd Tier Connections,,
Olympus Ventures,Minneapolis,"$2,000,000,000.00 ",https://www.linkedin.com/company/olympus-ventures-llc/,https://www.schulzefamilyfoundation.org,"FO for founder of Best Buy 
Family Foundation Board - https://www.schulzefamilyfoundation.org/about-us/board/
John Lodoen - head of PE at Olympus - ""I help run the private equity program at Olympus Ventures LLC. Our strategy seeks to invest in both funds and co-investments currently reviewing 400-500 deals/funds a year and investing in 30-40 of them. I'm part of a great team and enjoy the broad spectrum of people, deals, funds, cities and experiences the private equity industry affords. There is never a boring day in the private equity industry.""",Minneapolis,"Olympus Ventures is a single-family office based in Minneapolis, Minnesota. Established in 2000, the firm is involved in asset management and related financial affairs of Richard M. Schulze. The assets of the firm are managed by the executive management team.",2nd Tier Connections,,
Adler Management,Minneapolis,"$500,000,000.00 ",https://www.linkedin.com/company/adler-management-llc/,,"CIO was at Waycrosse
A few friends on Linkedin and no GPs",Minnetonka,"Adler Management is a multi-family office based in Minnetonka, Minnesota. Established in 2001, the company offers investment, accounting, and professional services to numerous individuals, trusts, charitable foundations, investment funds, and other client entities.",2nd Tier Connections,Andy Mastroe,
Lake Harriet Capital,Minneapolis,"$250,000,000.00 ",,https://lakeharrietcapital.com,Family office of Jim Lawrence - primiarly focused on Real Estate,Minneapolis,"Lake Harriet Capital is a Minneapolis, MN based family office founded in 2016 to manage the investment assets for the family of James A. Lawrence.",Nada,,
Hunter Trust LLC,Minneapolis,"$250,000,000.00 ",https://www.linkedin.com/company/huntertrust/,http://www.huntertrust.com/,can't find much of anything,Minneapolis,"Hunter Trust LLC, is a private investment firm established in 2000. It serves as the dedicated custodian of the Hunter family's wealth. Flexibility is a hallmark of Hunter Trust's approach to acquisitions. The firm tailors its investment terms to suit the unique characteristics of each opportunity. However, a consistent requirement is the acquisition of a controlling stake in the companies it purchases. This strategic approach aligns with Hunter Trust's commitment to actively contribute to the growth and development of its portfolio companies.",Nada,,
The Lansing Group,Minneapolis,"$200,000,000.00 ",https://www.linkedin.com/in/mark-mortenson-2663758/,https://mortensonfamily.org/,"Mortenson family - this guy looks like he runs the family's investments https://www.linkedin.com/in/mark-mortenson-2663758/	
This person  looks liek the head of the IC https://www.linkedin.com/in/jill-schurtz-8a25b591/
",Minneapolis,"The family office manages money for the Mortenson Family which they own the M. A. Mortenson Companies, Inc. (""Companies"") and its subsidiaries, including Mortenson Construction (collectively ""Mortenson""), as well as the Mortenson Family Foundation (the ""Foundation"") and other private entities.",Nada,,
Tonkawa Inc,Minneapolis,"$100,000,000.00 ",,https://tonkawa.com/,"Carlson Family - TGI Friday's 
They have a direct PE middle market business called Carlson Private Capital
This guy is brand new at Olympus and says he built a direct VC portfolio at Tonkawa https://www.linkedin.com/in/brian-gustafson-cfa-pcv/ - he was there 23 years. 
This guy Scott Berney looks like he's running the show now - some interesting connections including David Zug
",Minnetonka,"Tonkawa oversees the Curtis L. Carlson family's non-Carlson Companies interests, ensuring strategic management and growth. As a key player in the family's financial ecosystem, Tonkawa plays a crucial role in preserving wealth and seeking new opportunities beyond the established Carlson Companies. Tonkawa and the Carlson family invest in real estate through the Carlson Real Estate family, which has been investing since 1985. The family has a separate private investment firm, Carlson Private Capital Partners, which makes equity investments of $20 to $100m in family-owned and middle-market businesses primarily in the Upper Midwest.",2nd Tier Connections,David Zug?,
Artesian Partners,Minneapolis,"$100,000,000.00 ",,https://www.artesian.com/,founded in 2022 - purpose on site is to buy & hold operating businesses	,Minneapolis,Artesian’s permanent equity comes from a single family that has owned and operated one of America’s largest private companies for over 150 years — seven generations of business built around a single set of core values.,2nd Tier Connections,,
MPowered Capital,Minneapolis,"$100,000,000.00 ",,https://www.mpoweredcapital.com/,,Minneapolis,"MPowered is an independently-managed investment firm focused on accelerating equity for best-in-class female and other underrepresented talent through capital, commitment, and connections. The firm leverages its extensive investing experience across strategies as well as an array of investment types, including fund investments, structured transactions, and direct/co-investments, MPowered is uniquely positioned to provide investors with access to an exceptional, diversified pool of talent while generating superior risk-adjusted returns.",,,
"Arrivato, LLC",Philadelphia,"$20,000,000,000.00 ",,http://www.arrivatollc.com/,,Allentown,"Arrivato LLC is an extension of their Single Family Office (SFO) with an institutional philosophy across a family of companies. Arrivato LLC operates on a global scale, collaborating with family offices, diplomats, asset owners, and senior executives of pension funds, sovereign wealth funds, development banks, and endowments. Their global reach is complemented by a nuanced understanding of local markets. As a consulting firm, Arrivato LLC serves as a trusted advisor, offering insights honed through years of practical experience. Their relationship management ethos ensures personalized engagement, fostering enduring connections with there partners. They specialize in the strategic development of partnerships, aligning with their commitment to mutual growth and success.",,,
Darco Capital,Philadelphia,"$2,000,000,000.00 ",,https://darcocapital.com/,,Philadelphia,"Darco Capital, under the stewardship of David Adelman, exemplifies a proactive and diversified investment strategy, with a keen focus on both financial gains and societal impact. Adelman's entrepreneurial journey and investment foresight have led Darco Capital to become a significant player in various sectors, including consumer products, FinTech, climate technology, and beyond. The firm's investment philosophy leans heavily towards ventures that not only promise robust financial returns but also contribute positively to societal and environmental challenges. One of the key areas of focus for Darco Capital has been climate technology, highlighting Adelman's belief in the synergy between environmental sustainability and profitable investment opportunities. This is a testament to the evolving landscape of investment priorities, where traditional financial metrics are increasingly being integrated with impact-driven goals​​. Additionally, Darco Capital's portfolio is vast and varied, spanning early-stage investments in sectors like business services, financial services, food & agriculture, life sciences & healthcare, and sports & entertainment. This diversification underscores Adelman's approach to investing, which values breadth across industries and stages, from seed-level startups to growth-stage companies.",,,
Harron Ventures,Philadelphia,"$2,000,000,000.00 ",,https://www.harron.com/,,Frazer,"The Harron family traces its history in the telecommunications industry to the 1930’s when Paul F. Harron began purchasing and developing radio stations, primarily in the New York and Philadelphia markets. When Mr. Harron recognized the potential of television during the 1950’s, he turned his attention to acquiring and operating broadcast television stations. Then, in the 1960’s, in an attempt to protect his broadcast television stations in Utica, New York, Mr. Harron built his first cable television system. Harron Ventures, LLC was formed to serve as a private family office. Harron Ventures, LLC makes investments in marketable and fixed income securities, private equity opportunities and real estate projects, in addition to providing businesses debt financing and management services.",,,
Spring Creek Investment Management,Philadelphia,"$1,500,000,000.00 ",,https://N/A,,Philadelphia,"$1.5B single family office in Philly for Joe Neubauer, former CEO for Aramark. Founded in 2007, 5 person team led by Jin Park. Jason Kapusto focuses on Private Markets (ex VC), Mike Megard is Public Markets, and Greg Fledman is VC. They have always had a value bias, most of their public market exposure is in HF's and Value managers. In Private Markets, they are very opportunistic - currently focusing on Energy/Natural Resources (more traditional - not interested in the overcrowded energy transition space) and Healthcare. They go direct for mostly real estate, and will typically write $20m checks to fund managers.",,,
Dock Street Capital,Philadelphia,"$1,000,000,000.00 ",,,,King of Prussia,"Dock Street Capital provides investment advisory services. They offer financial planning, portfolio valuation, liquidation, asset acquisition, security restructuring, consulting, and investment management services.",,,
Attinger LLC,Philadelphia,"$514,500,000.00 ",,https://attingerllc.com/,,Bala Cynwyd,"Attinger LLC is an investment firm with a focus on alternative investments, managing approximately $514.5 million in assets as of March 2023. Their portfolio includes private equity and hedge funds, with investments across diverse sectors such as consumer products, financial services, and technology. The firm's strategy emphasizes flexibility, offering creative financing solutions beyond typical venture funding, and demonstrating a commitment to supporting companies through various market conditions​​.",,,
LBCW Private Holdings,Philadelphia,"$500,000,000.00 ",,https://www.lbcw.net/,,Bryn Mawr,"LBCW Private Holdings is a private investment firm dedicated to managing and growing the wealth of its stakeholders through a sophisticated and diversified investment approach. The firm focuses on delivering sustainable financial growth and preserving capital for future generations. LBCW Private Holdings operates with a commitment to excellence, leveraging its extensive expertise and strategic insights to navigate complex financial markets. The firm offers a wide range of financial services, including asset management, financial planning, and advisory services, tailored to meet the unique needs of its clients.",,,
Provco Group,Philadelphia,"$500,000,000.00 ",,https://provcogroup.com/,,Villanova,"The Provco Group is a private equity and venture capital firm specializing in early and mature stage financing. Their main focus is on targeting new commercial real estate properties. Provco redevelops underutilized sites and acquires desirable real estate for development and use by third party tenants like Wawa, CVS, Starbucks, and others.",,,
Harrow Capital,Philadelphia,"$500,000,000.00 ",,https://www.harrowcapital.us/,,Philadelphia,"At Harrow Capital, the focus lies on growth capital investments in early-stage ventures and minority or majority buyouts of established businesses. Setting themselves apart from typical private equity firms, they operate as a family office without external investors, with a commitment to long-term ownership rather than short-term profit. This approach enables them to employ lower leverage and prioritize optimal long-term investment strategies for sustained growth. Their overarching business philosophy centers on prioritizing customer and employee welfare, believing that by doing so, financial returns will naturally ensue.Harrow Capital is the direct investm",,,
"Superior Family Office, inc.",Philadelphia,"$500,000,000.00 ",,https://N/A,,Philadelphia,"Family Office based in Conshohocken, PA",,,
Carlino Capital,Philadelphia,"$300,000,000.00 ",,https://N/A,,Reading,"Family office located in Reading for Peter Carlino, founder of Penn National.",,,
"JD Group Holdings, LLC.",Philadelphia,"$250,000,000.00 ",,https://jdgroupholdingsllc.com/,,Newtown Square,"JD Group Holdings is a leading multi-family office and private wealth management firm. We’ve emerged to address the escalating demand for a comprehensive investment solution, serving as your ultimate one-stop-shop for a diverse array of investment opportunities.",,,
Healey Development LLC,Philadelphia,"$250,000,000.00 ",,http://www.healeydev.com,,Morristown,"Healey Development LLC is a Family Office based in Morristown, New Jersey. Founded by a former partner of Goldman, Sachs & Co., it has four primary business activities: Portfolio management, planning and reporting for a Family Office. Principal investments in investment management businesses, through a deliberate strategy of partnership and co-investment in inefficient asset classes and less common investment strategies. Charitable activities primarily directed through a Private Foundation. Research and written works focused on issues involving U.S. Financial Policy, particularly regulation and entitlements as well as investment topics.",,,
Kestrel Investments,Philadelphia,"$200,000,000.00 ",,https://N/A,,Wayne,"Kestrel Investments stands out in the investment landscape for its specialized focus on small and micro-cap companies undergoing voluntary restructurings. This investment firm operates with a clear contrarian and value-oriented philosophy, employing a rigorous, bottom-up investment approach. Kestrel Investments is known for its meticulous negative screening process, which helps identify undervalued companies that exhibit potential for significant long-term growth. This process also aids in avoiding companies that do not meet stringent fundamental or governance criteria, thereby minimizing risk and enhancing return potential​​. In addition to its core investment activities, Kestrel Partners, under the same umbrella, manages the Kestrel Opportunities Fund (KOF). This fund is dedicated to long-duration capital investments in business-critical software companies with strong intellectual property and recurring cash flows. KOF aims to work closely with the management teams of its portfolio companies to unlock latent value and deliver long-term capital growth​​. Kestrel Investments also explores alternative investments, including real estate and debt in startups, reflecting its versatile and strategic investment approach. The firm's strategy extends to creating bespoke investment products and special purpose vehicles tailored to institutional and family office investors, further showcasing its capability to adapt and innovate within the financial sector​​.",,,
Diamond Equity Partners,Philadelphia,"$200,000,000.00 ",,https://www.diamondequitypartners.com,,Jenkintown,"Diamond Equity Partners was founded by Peter Schorsch. Mr. Schorsch and his family are serial-entrepreneurs who have successfully invested in and managed a diverse array of businesses over the past century. Diamond is operating with a ""clean slate."" We have no legacy problems or issues, allowing our management teams to focus on the current situation in a frank and open way. Our flat organizational structure and non-bureaucratic approach provides for expeditious decision-making and execution from start to finish. We have the ability and savvy to provide capital and expertise to the most unique opportunities. Diamond has the strategic, operational and financial resources needed to deliver the required results. Further, our relationships with entrepreneurs and leaders in industries around the globe empower our team to work diligently and quickly.",,,
Danziger Family Investments,Philadelphia,"$200,000,000.00 ",,http://www.dfifund.com/,,Philadelphia,"Danziger Family Investments (“DFI”) is an investment partnership seeking to acquire and operate a single small or middle market company. For owners and families who want to reduce their investments of time and capital in their business, need liquidity for estate planning, or feel new skills and capital are needed to realize the full potential of the business, DFI can help you realize the reward for what you have built while enhancing your legacy.",,,
Berwind Family Office,Philadelphia,"$200,000,000.00 ",,https://www.berwind.com,,Philadelphia,"Berwind is a family-owned investment management company. With its roots dating to 1886, Berwind has evolved from its beginning as a coal mining company, to a diversified portfolio of highly successful manufacturing and service companies, which are leaders in their market niche. Representing several billion dollars in enterprise value, these companies serve a number of industries including pharmaceutical, specialty chemical, medical technology, automotive, commercial and emergency vehicle, pet food, life sciences, energy, general industrial, and natural resources. Berwind is dedicated to investing in member companies to assist in the growth and development of existing industry platforms and building new platforms for future growth.",,,
Brynavon Group Inc,Philadelphia,"$150,000,000.00 ",,https://brynavon.com/,,Villanova,"The Brynavon Group, Inc. (“Brynavon”) is a family office that was founded in 1973 and currently owns four companies located across the United States. Brynavon assists successful management teams in acquiring the business for which they work through a management buyout. Brynavon is a private investment firm that can handle all aspects of the M & A / ownership transition process: equity capital, mezzanine debt, senior debt, deal structuring, negotiation, estate planning, due diligence and divestiture. Typically, Brynavon owns between 60-80% of the portfolio companies while the balance is owned by management teams. Brynavon is a complete financial resource for management teams, business owners, intermediaries, and financial service providers. Brynavon has a rich tradition of experience, creativity, and capital when it comes to the small M & A market (companies with revenues that are below $50 million).",,,
Entrepreneur Partners LP,Philadelphia,"$150,000,000.00 ",,https://www.entrepreneurpartners.com/,,Philadelphia,"As a private equity firm investing the personal capital of its principals, we are able to invest with a flexible, accommodating approach. We are not obligated to enter or exit investments at pre-specified time horizons, nor do we feel the need to complete multiple transactions in a short period of time for the sake of raising the next fund. Our freedom from a traditional fund structure enables us to invest without conflicting interests. We seek only to create sustainable value through wise investments that have passed our thorough and meticulous evaluation process. In addition, by eliminating the need to manage a fund, we can better focus our time and energy to help grow our portfolio companies.",,,
Brodie Generational Capital Partners,Philadelphia,"$100,000,000.00 ",,https://www.bgencap.com/,,Radnor,"Brodie Generational Capital Partners is a single family office based in Radnor, just outside of Philadelphia, with a long term investment approach.",,,
Desimone Group Investments,Philadelphia,"$24,000,000.00 ",,https://www.desimonegroup.com,,Cherry Hill,"DeSimone Group Investments is a family office providing growth funding for early to mid stage companies in the Philadelphia, tri-state region.",,,
Mt. Vernon Investments,Dallas,"$5,000,000,000.00 ",,https://n/a,,Dallas,Mount Vernon Investments operates as an investment management firm. The Company provides portfolio management and consulting services to its clients.,,,
Goff Capital,Dallas,"$4,000,000,000.00 ",,,,Forth Worth,"Goff Capital is a Family Officeounded by John C. Goff in 2009, based in Fort Worth, Texas. John Goff has a notable background in investment and real estate, having co-founded Crescent Real Estate with Richard Rainwater in the early 1990s. Under Goff's leadership, Crescent Real Estate grew significantly, from approximately $500 million at its IPO in 1994 to $6.5 billion upon its sale to Morgan Stanley in 2007. Goff reacquired Crescent in November 2009, and by December 2017, he became the principal owner of significant assets including Ritz-Carlton, Dallas, and Canyon Ranch, a leader in health and wellness. John Goff's investment philosophy has been shaped by his work with Richard Rainwater and is characterized by a contrarian approach to investment, particularly in real estate. This strategy involves seizing opportunities that others might overlook, a principle that played a crucial role in the founding of Crescent Real Estate and has continued to influence Goff Capital's investment decisions​",,,
Hersh Family Investments,Dallas,"$3,500,000,000.00 ",,http://www.hershfi.com/,,Dallas,"Hersh Family Investments (HFI) focuses on enhancing the financial, civic, and philanthropic interests of the Kenneth A. Hersh family. They differentiate themselves from typical investment firms by managing their own capital, which allows them to operate without the typical restrictions found in institutional private equity funds. This provides them the flexibility to take a long-term perspective in their investments to build great companies over time. Their investment criteria emphasize partnering with management teams in growth-focused businesses that have a proven track record of success. HFI looks for investments that have a sustainable and defendable franchise, strong returns on invested capital, solid free cash flow generation with opportunities for reinvestment, and the ability to add value operationally or via acquisition/organic growth​​. One of the recent and notable investments by Hersh Family Investments is in a joint venture with Green Brick Partners, Inc., to develop Rainwater Crossing, a new residential project in Celina, Texas. The development spans over 550 acres and will feature more than 1,900 homesites, along with an array of amenities designed to enhance residents' quality of life. This includes a resort-style clubhouse, a swimming pool, playground, and sport courts, among others. The project underscores HFI's commitment to investing in opportunities with the potential to create substantial long-term value",,,
Keystone Group LP,Dallas,"$3,000,000,000.00 ",,https://N/A,,Fort Worth,"Family office for Robert Bass. He inherited $2.8 billion from his oil tycoon uncle in 1959 and grew his fortune through investments and ventures. In the early 1980s, Bass founded his own successful private equity firm, the Robert M. Bass Group, which specializes in leveraged buyouts. It is now known as the Keystone Group.",,,
The Smith Family Office,Dallas,"$2,800,000,000.00 ",,http://www.smithfamilyoffice.com/,,Fort Worth,"The Smith Family Office is a premier wealth management firm dedicated to serving the financial needs of high-net-worth individuals and families. The firm offers a comprehensive suite of financial services designed to preserve and grow wealth through personalized strategies. By focusing on investment management, estate planning, tax advisory, and strategic financial planning, The Smith Family Office ensures that each client's unique financial goals and values are met. The firm's client-centric approach, grounded in principles of integrity, excellence, and long-term partnership, fosters enduring relationships and guides clients toward sustained financial success and security.",,,
Adi Family Office,Dallas,"$2,500,000,000.00 ",,https://www.adifamily.com/,,Frisco,"Adi Family Office is a prestigious wealth management firm dedicated to serving high-net-worth individuals and families with a comprehensive suite of financial services. The firm is committed to providing personalized solutions that align with the unique financial goals and values of each client. Adi Family Office's services encompass investment management, estate planning, tax advisory, and strategic financial planning. The firm's philosophy is grounded in principles of integrity, excellence, and a client-centric approach, ensuring that each client's financial needs are met with the highest level of expertise and care. Adi Family Office prides itself on building enduring relationships with its clients, fostering long-term financial success and security.",,,
Winn Family Office,Dallas,"$1,500,000,000.00 ",,https://n/a,,Dallas,"Winn Family Office is a single-family office located in Dallas, Texas.",,,
"Deason Capital Services, LLC",Dallas,"$1,500,000,000.00 ",,https://www.linkedin.com/company/deason-capital-services-llc/,,Dallas,"Deason Capital Services manages family assets including a large holding of Xerox Corporation shares; municipal bonds; a majority holding in FUNimation Entertainment and 1200 Media; a substantial holding in oil and gas operating company Foreland Resources, LLC; and a large holding in the global tax services firm Ryan, LLC. DCS also has investments in PE funds, debt funds, oil and gas funds and LPs, subprime auto loans, real estate, mezzanine loans and other assets and investments.",,,
"2M Companies, Inc.",Dallas,"$1,500,000,000.00 ",,https://www.2m.com,,Dallas,"2M Companies supports the business and investment management activities of the Morton H. Meyerson family enterprise. Broadly speaking we provide management and oversight to family owned businesses and real properties and we manage a diverse portfolio of direct private Investments , investment funds, and liquid securities. Philanthropic activities are conducted through the Meyerson Family Foundations. 2M Companies, Inc. is a family office specializing in venture capital, private equity, and incubation Investments in startup and early stage companies. It also seeks to make real estate Investments . It invests in geographically-agnostic sectors with a focus on technology and biotech sectors. The firm also prefers to invest in public equities. The firm invests in seed and series A Investments in companies with equity Investments between $0.5 million to $5 million. 2M Companies, Inc. is based in Dallas, Texas.",,,
Rosewood Corporation,Dallas,"$1,500,000,000.00 ",,http://www.rosewd.com/,,Dallas,"Established in 1976, The Rosewood Corporation is a family-owned company with diverse worldwide operations and investments. The Rosewood Corporation is wholly-owned by the Caroline Hunt Trust Estate, which was established in 1935 by legendary oil man H.L. Hunt and his wife, Lyda, and built upon over generations by developing and acquiring businesses that are leaders in their respective industries.",,,
Westcott Family Investment Office,Dallas,"$1,000,000,000.00 ",,https://westcott.com/,,Dallas,"Westcott Industries LLC was formed in 2019 as an entrepreneurial private investment platform. Prior, it was the family office of Carl Westcott and now owned and managed by his sons Court and Chart Westcott. The investments of Westcott Industries are as varied as Mr. Westcott’s career including real estate, technology, energy, finance, and consumer services. Mr. Westcott began his career in the automotive industry, eventually amassing a chain of 17 new car dealerships. In 1974 he formed First Extended Service Corporation becoming the world’s first originator of extended automotive service agreements for new automobiles and was sold to AON, the global insurance giant in 2006. In 1976 Carl Westcott purchased the phone number 1800FLOWERS and was the original Founder of 1800FLOWERS which was later sold multiple times to new owners. Mr. Westcott founded his most successful venture, Westcott Communications, in 1986. Westcott Communications was the premier company for delivery of video training programs via satellite. Mr. Westcott took the company public in 1989 and sold it in 1996 to K-III Holdings, Inc. Westcott Industries has also managed venture investments such as Internet America, one of the nation’s largest regional Internet Service Providers (ISP) and Digital Witness, a leading provider of digital surveillance solutions. Internet America in 1999 went public. Digital Witness was sold to Westec in 2007. Since 2009, Court Westcott has led the Westcott Investment Group, an independent sponsor, leading rounds in numerous cutting-edge startups in Augmented Intelligence and in deep frontier tech. Three of WIG’s portfolio companies have had 9-figure exits. Two of WIG’s portfolio companies were acquired by Apple with other notable exits to Cisco, TeamViewer, Peloton and Roblox. Todays WIG’s Flagship investments include Paradromics, Theatro, Airhelp, Immusoft and numerous other startups.",,,
Hunt Investment Group,Dallas,"$1,000,000,000.00 ",,http://www.huntinvestmentgroup.com/index.aspx,,Dallas,"Hunt Investment Group is an investment firm seeking to deploy capital with equity and hedge fund managers, private investment funds and select direct co-investments around the world in a diversified portfolio of various asset classes and strategies that are generally uncorrelated to the activities of other business units within the Hunt family of companies.",,,
Brush Street Investments,Dallas,"$1,000,000,000.00 ",,,,Dallas,"Brush Street Investments, LLC is the private investment unit of a single-family office. Its professional investment team conducts extensive investment research to develop custom investment strategies and solutions for its client-families. They are affiliated with Ford Family Office",,,
"Havenshare Financial, LLC",Dallas,"$600,000,000.00 ",,https://n/a,,Dallas,"Havenshare Financial, LLC, headquartered in Dallas, is a prominent advisory firm. Its core services include comprehensive financial planning, portfolio management tailored for individuals and small businesses, as well as the selection and evaluation of other advisers and specific investments.",,,
NHR Holdings,Dallas,"$500,000,000.00 ",,,,Farmers Branch,"NHR Holdings is a private investment firm structured as a single-family office, headquartered in Dallas, Texas. The firm focuses on managing and growing the wealth of the family it serves through a diversified investment approach that spans multiple asset classes and industries. With a strong commitment to preserving wealth across generations, NHR Holdings employs a strategic and disciplined investment strategy that aligns with the long-term financial goals of the family.",,,
Anchor Partners,Dallas,"$500,000,000.00 ",,https://anchor-investments.com/,,Dallas,"Anchor Partners is a family office that focuses on the manufacturing sector, particularly in metal fabrication. The firm seeks to invest in manufacturing companies that exhibit a strong track record of performance and a culture oriented towards growth. Recognizing the vital role of manufacturing in every major city across America, Anchor Partners aims to partner with businesses that are eager to adapt to evolving industry standards, including advancements in technology and workforce dynamics. The firm values companies that are committed to continuous learning and customer collaboration, with an infrastructure that complements Anchor Partners' existing portfolio both in terms of capabilities and geographic distribution.",,,
Napali Capital,Dallas,"$500,000,000.00 ",,https://www.napalicap.com/,,"Roanoke,","Napoli Capital is a real estate investment firm dedicated to helping physicians increase their wealth through strategic real estate investments. The firm partners with physicians to provide access to diverse, tax-incentivized investment opportunities that extend beyond traditional platforms. Napoli Capital’s mission is to create sustainable passive income and substantial cash flow for its investors by leveraging a robust portfolio of properties across the United States. The firm emphasizes diligent management and a commitment to aligning its interests with those of its investors, ensuring optimal financial outcomes.",,,
RWR Investments,Dallas,"$500,000,000.00 ",,https://rwrinvestments.com/,,Dallas,"RWR Investments stands as a distinguished private investment firm and the trusted management entity for a prominent Dallas-based family office. With a collective experience exceeding 40 years in the realm of alternative investments spanning equity and credit markets, our seasoned team brings a wealth of knowledge to the financial landscape. At the core of our operations is a comprehensive investment management process that encompasses sourcing, due diligence, and ongoing management of investments. RWR is known for its highly selective and rigorous diligence practices, ensuring that only a handful of opportunities that meet our stringent criteria are pursued each year. This meticulous approach reflects their commitment to delivering superior performance and managing risk effectively.",,,
The Belmont Group,Dallas,"$408,477,622.00 ",,https://www.vantagecompanies.com/,,Dallas,"The Belmont Group, operating within the Eulich Family Office, has been involved in real estate, equities, and alternative investments since 1959. They are based in Dallas, TX, and part of the broader portfolio of Vantage Companies.",,,
Orison Capital,Dallas,"$350,000,000.00 ",,https://orisonholdings.com/,,Denton,"The Orison team consists of founders, operators, private equity investors, real estate investors, and legal professionals and has over $350 million in assets. Orison invests in private businesses along with residential and commercial real estate through Orison Holdings.",,,
Glass Family Office,Dallas,"$325,000,000.00 ",,https://N/A,,Tyler,"The Glass Family Office is a private wealth management firm that provides comprehensive financial services to the Glass family and their associated entities. The firm is dedicated to providing personalized attention and exceptional results. The Glass Family Office offers a wide range of services including investment management, estate planning, tax planning, risk management and philanthropic activities. They create portfolios that not only generate strong financial returns but also have a positive impact on the world. The firm's commitment to ESG investing has been a key driver of its success.",,,
"Unity Hunt, Inc.",Dallas,"$250,000,000.00 ",,https://N/a,,Dallas,Unity Hunt is a privately owned wealth management firm established to manage the assets of the Lamar Hunt family.,,,
Penrose,Dallas,"$250,000,000.00 ",,http://penrose-llc.com,,Fort Worth,"At Penrose, we make sound long-term investments, adding value and influence to our partner organizations. Investments bring us together with the best and brightest, while nurturing relationships with people we know and trust. Our diverse current and historic portfolio includes manufacturing, sports and entertainment, financials, technology, healthcare, real estate, pharmaceuticals, aerospace, energy, and food.",,,
JF2 Capital Partners,Dallas,"$250,000,000.00 ",,https://www.jf2capital.com,,Dallas,"JF2 Capital Partners is a family office backed private investments firm based in Dallas, TX. Founded in 2017, JF2 Capital is interested in investing in both lower middle market private equity as well as early stage companies spanning a diverse array of industries. JF2 Capital works with dynamic management teams to build sustainable value in businesses leveraging extensive operational experience in growing and scaling organizations. With more than 20 years of proven success in starting, growing, and monetizing companies we have an extensive track record of accelerating growth in both early and later stage companies.",,,
